airline,code,aircrafts
Nouvelair Tunisie,BJ / LBT,10
Nova Airways,O9 / NOV,3
Novair,N9 / NVR,2
Novoair,VQ / NVQ,7
Nyxair,NYX,4
OK Aviation Group,NTF,13
Okay Airways,BK / OKA,27
Olympic Air,OA / OAL,12
Olympus Airways,OLY,5
Oman Air,WY / OMA,61
Omni Air International,OY / OAE,7
Omni Aviation,OAV,8
Onur Air,8Q / OHY,23
Orange2fly,O4 / OTF,3
Orbest,6O / OBS,2
Orca Airways,ORK,1
Orenburzhye,O7 / ORG,2
Ornge Air,PUL,20
Oscar Jet,OSJ,3
Overland Airways,OF / OLA,7
Oxford Aviation Academy,OXF,11
Paccair,WIS,11
Pacific Coastal Airlines,8P / PCO,22
Pakistan International Airlines,PK / PIA,33
PAL Airlines,PB / PVL,22
Pan Pacific Airlines,8Y / AAV,5
Paranair,ZP / AZP,4
Pascan Aviation,P6 / PSC,17
Passaredo Linhas Aereas,2Z / PTB,9
Peach,MM / APJ,36
Pegas Fly,EO / KAR,19
Pegasus Airlines,PC / PGT,83
Pel-Air,PFY,15
Penair,KS / NLA,16
People's,PE / PEV,2
Perimeter Aviation,YP / PAG,12
Philippine Airlines,PR / PAL,100
Planemaster Services,PMS,2
PlaneSense,CNS,40
Plus Ultra,PU / PUE,6
PNG Air,CG / TOK,14
Pobeda,DP / PBD,30
Polar Air Cargo,PO / PAC,16
Polish Medical Air Rescue,LPR,35
Polynesian,OL / PAO,4
Porter Airlines,PD / POE,29
Poste Air Cargo,M4 / MSA,6
Precision Air,PW / PRF,8
Presidential Aviation,PRD,1
Priester Aviation,PWA,7
Priority Air Charter,PRY,6
Private Wings,8W / PWF,11
Privateways,YZ / PWY,2
Privilege Style,PVG,4
Proflight Air Services,P0 / PFZ,4
Qantas,QF / QFA,137
QantasLink,QLK,90
Qatar Airways,QR / QTR,238
Qatar Airways Amiri Flight,Q4 / QAF,8
Qeshm Airlines,QB / QSM,19
Qingdao Airlines,QW / QDA,25
Quest Diagnostics,LBQ,22
Quikjet Cargo Airlines,QO / FQA,1
RAF-Avia,MTL,9
Ravenair,RVR,29
Ravn Alaska,7H / RVF,19
Raya Airways,TH / RMY,4
Reach Air Medical Services,REH,38
Real Tonga Airline,RLT,2
Rectrix Aviation,RIX,8
Red Wing Aeroplane,LAK,2
Red Wings,WZ / RWZ,18
Redding Aero Enterprises,BXR,16
Regent Airways,RX / RGE,7
Regional Air Services,8N / REG,3
Regional Express,ZL / RXA,57
Regional Jet,EE / EST,15
Republic Airways,YX / RPA,2
Rhoades Aviation,T4 / RDS,2
Richland Aviation,RCA,4
Rossiya,FV / SDM,60
Rotana Jet,RG / RJD,3
Royal Air Freight,RAX,21
Royal Air Maroc,AT / RAM,62
Royal Brunei Airlines,BI / RBA,15
Royal Falcon,RFJ,3
Royal Flight,RL / ABG,14
Royal Jordanian,RJ / RJA,33
Rubystar,RSB,14
Ruili Airlines,DR / RLH,20
RusAir,CGI,1
Rusline,7R / RLU,20
Rutaca Airlines,5R / RUC,2
RwandAir,WB / RWD,14
Ryan Air (USA),7S / RYA,20
Ryanair,FR / RYR,464
Ryukyu Air Commuter,RAC,5
S7 Airlines,S7 / SBI,106
SA Express,XZ / EXY,21
Safair,FA / SFR,23
Safarilink Aviation,F2 / XLK,11
Safi Airways,4Q / SFW,5
Saga Airlines,SGX,8
Saha Airlines,IRZ,4
SalamAir,OV / OMS,8
Sansa,RZ / LRS,8
SAS,SK / SAS,160
SATA Air Acores,SP / SAT,6
Satena,9R / NSE,10
Saudia,SV / SVA,180
SaudiGulf Airlines,6S / SGQ,6
SCAT,DV / VSV,25
Scoot,TR / TGW,49
Seaborne,BB / SBS,8
Sepehran Airlines,IS / SHI,1
Serene Air,ER / SEP,3
Sevenair,WV / RVP,28
Severstal Aircompany,D2 / SSF,11
SF Airlines,O3 / CSS,57
Shandong Airlines,SC / CDG,135
Shanghai Airlines,FM / CSH,114
Shenzhen Airlines,ZH / CSZ,203
Shree Airlines,N9 / SHA,6
Siam Air,O8 / SQM,2
Siam General Aviation,5E / SGN,3
Sichuan Airlines,3U / CSC,164
Sierra West Airlines,P8 / PKW,6
Silk Way Airlines,ZP / AZQ,14
Silk Way West Airlines,7L / AZG,10
SilkAir,MI / SLK,42
Silver Air,SIS,3
Silver Airways,3M / SIL,33
Silver Cloud Air,SCR,5
Silverhawk Aviation,SLH,7
Singapore Airlines,SQ / SIA,136
Singapore Airlines Cargo,SQC,7
Sioux Falls Aviation,DKT,13
Sirius-Aero,CIG,25
Sjofartsverket,HMF,7
Sky Airline,H2 / SKU,26
Sky Angkor Airlines,ZA / SWM,10
Sky Bahamas,Q7 / SBM,3
Sky Express,GQ / SEH,18
Sky Gates Airlines,U3 / SAY,2
